City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cheremshan,54.6667,51.5,56.19,49,40,3.4,RU,1627249903
Rikitea,-23.1203,-134.9692,71.01,67,19,4.7,PF,1627249904
Kalmunai,7.4167,81.8167,80.02,79,100,4.85,LK,1627249904
Sinnamary,5.3833,-52.95,78.53,82,81,6.64,GF,1627249905
Kazanskoye,55.6448,69.235,51.78,79,1,9.73,RU,1627249905
Torbay,47.6666,-52.7314,58.75,88,75,11.5,CA,1627249906
Albany,42.6001,-73.9662,83.84,84,36,3.98,US,1627249860
Saint-Leu,-21.15,55.2833,67.03,73,55,4.7,RE,1627249907
Aripuanã,-9.1667,-60.6333,84.67,39,18,1.41,BR,1627249907
Tuatapere,-46.1333,167.6833,45.82,94,100,3.11,NZ,1627249908
Bang Saphan,11.2126,99.5117,78.3,85,100,6.31,TH,1627249908
Saint George,37.1041,-113.5841,96.33,31,1,8.05,US,1627249622
Antigonish,45.6169,-61.9986,74.19,67,73,1.99,CA,1627249621
Shelburne,44.0787,-80.2041,82.67,37,0,11.21,CA,1627249910
Ushuaia,-54.8,-68.3,35.26,87,40,26.46,AR,1627249796
Longyearbyen,78.2186,15.6401,42.37,87,99,0.4,SJ,1627249864
Castro,-24.7911,-50.0119,57.04,65,2,4.47,BR,1627249911
Cabo San Lucas,22.8909,-109.9124,95.81,70,8,8.5,MX,1627249912
Busselton,-33.65,115.3333,58.08,65,18,21.12,AU,1627249912
Loviisa,60.4566,26.2251,66.45,70,100,6.13,FI,1627249913
Port Alfred,-33.5906,26.891,61.16,37,65,10.27,ZA,1627249914
Tuktoyaktuk,69.4541,-133.0374,48.2,93,90,17.27,CA,1627249914
Prokop'yevsk,53.9059,86.719,63.95,92,99,4.34,RU,1627249915
Emerald,-23.5333,148.1667,52.99,43,28,8.05,AU,1627249915
Kruisfontein,-34.0033,24.7314,55.0,33,67,8.16,ZA,1627249916
Sosnovoborsk,56.1325,93.3589,60.35,87,0,2.93,RU,1627249916
Zhigansk,66.7697,123.3711,62.74,63,29,9.22,RU,1627249898
Naberera,-4.2,36.9333,57.76,58,42,10.56,TZ,1627249917
Aklavik,68.2191,-135.0107,54.32,69,100,14.88,CA,1627249343
Bluff,-46.6,168.3333,45.81,85,100,6.11,NZ,1627249918
Danielskuil,-28.1887,23.5395,42.26,42,99,8.34,ZA,1627249919
Khatanga,71.9667,102.5,52.32,76,33,5.19,RU,1627249824
Provideniya,64.3833,-173.3,48.31,93,90,6.71,RU,1627249832
Avarua,-21.2078,-159.775,78.85,78,20,9.22,CK,1627249920
San Quintín,30.4833,-115.95,68.58,82,100,5.57,MX,1627249921
Puerto Ayora,-0.7393,-90.3518,80.56,85,41,10.0,EC,1627249922
Mar del Plata,-38.0023,-57.5575,52.09,60,90,7.0,AR,1627249853
Deputatsky,69.3,139.9,50.04,64,4,4.43,RU,1627249329
Yeppoon,-23.1333,150.7333,44.38,47,2,5.44,AU,1627249923
Rundu,-17.9333,19.7667,52.5,53,0,6.85,NA,1627249923
São João da Barra,-21.6403,-41.0511,71.69,72,0,14.61,BR,1627249097
Comodoro Rivadavia,-45.8667,-67.5,46.26,57,40,5.75,AR,1627249924
Dzaoudzi,-12.7887,45.2699,76.89,65,0,17.27,YT,1627249925
Maningrida,-12.0667,134.2667,67.53,90,49,9.04,AU,1627249925
Saint-Augustin,51.226,-58.6502,68.43,59,30,19.3,CA,1627249926
Dunedin,-45.8742,170.5036,50.81,72,100,11.01,NZ,1627249830
Tiksi,71.6872,128.8694,50.68,84,100,5.97,RU,1627249927
George Town,5.4112,100.3354,82.89,87,20,1.01,MY,1627249927
Dikson,73.5069,80.5464,40.68,81,100,12.93,RU,1627249928
Pangoa,-12.1167,-73.0,79.86,60,54,2.59,PE,1627249928
Ribeira Grande,38.5167,-28.7,70.45,82,25,14.34,PT,1627249849
Kapaa,22.0752,-159.319,83.19,79,75,5.01,US,1627249731
Upernavik,72.7868,-56.1549,41.63,79,14,11.61,GL,1627249930
Qaanaaq,77.484,-69.3632,40.71,70,80,3.96,GL,1627249930
Mataura,-46.1927,168.8643,45.48,90,100,2.73,NZ,1627249931
Tha Mai,12.6214,102.0048,77.25,85,100,4.76,TH,1627249931
Santarém,-2.4431,-54.7083,86.13,70,0,5.75,BR,1627249680
Yellowknife,62.456,-114.3525,64.33,51,40,11.5,CA,1627249862
Nome,64.5011,-165.4064,50.16,87,90,9.22,US,1627249932
Hambantota,6.1241,81.1185,77.34,100,75,4.61,LK,1627249933
Yar-Sale,66.8333,70.8333,44.02,83,56,9.01,RU,1627249933
Punta Arenas,-53.15,-70.9167,37.51,81,0,14.97,CL,1627249934
Norman Wells,65.282,-126.8329,73.44,38,40,5.75,CA,1627249826
Shaowu,27.3409,117.4831,75.96,94,100,4.21,CN,1627249935
Bredasdorp,-34.5322,20.0403,51.28,93,100,2.3,ZA,1627249935
Faanui,-16.4833,-151.75,78.08,65,0,10.78,PF,1627249936
Coquimbo,-29.9533,-71.3436,58.73,72,0,9.22,CL,1627249324
Arraial do Cabo,-22.9661,-42.0278,71.56,68,0,11.5,BR,1627249937
Saint-Philippe,-21.3585,55.7679,67.55,75,52,10.58,RE,1627249830
Hasaki,35.7333,140.8333,77.4,75,18,17.52,JP,1627249937
Hermanus,-34.4187,19.2345,58.89,53,100,9.86,ZA,1627249938
Liberty,31.8335,-81.5004,92.05,46,20,1.99,US,1627249939
Dutse,11.7594,9.3392,75.85,82,95,11.86,NG,1627249939
Cham,47.1821,8.4636,64.62,92,90,0.0,CH,1627249940
Birjand,32.8663,59.2211,82.87,12,0,4.61,IR,1627249940
Carnarvon,-24.8667,113.6333,51.87,73,2,5.75,AU,1627249941
Bowen,-20.0167,148.2333,41.22,59,68,5.14,AU,1627249814
Hilo,19.7297,-155.09,81.81,83,90,6.91,US,1627249942
Salalah,17.0151,54.0924,77.29,85,83,13.87,OM,1627249942
Sitka,57.0531,-135.33,57.09,82,75,4.61,US,1627249943
Njombe,-9.3333,34.7667,40.41,84,2,6.46,TZ,1627249943
Remedios,22.4947,-79.5458,84.16,71,37,11.48,CU,1627249944
Guerrero Negro,27.9769,-114.0611,78.12,57,50,14.76,MX,1627249944
Kapasan,-6.7773,111.3789,68.54,86,15,4.41,ID,1627249945
Eyl,7.9803,49.8164,77.13,73,45,21.05,SO,1627249945
Okato,-39.2,173.8833,53.42,91,99,25.26,NZ,1627249946
Saint Paul Harbor,57.79,-152.4072,53.11,87,90,5.75,US,1627249947
Kahului,20.8947,-156.47,87.82,78,40,23.02,US,1627249675
Barrow,71.2906,-156.7887,44.62,93,90,11.5,US,1627249931
Mehamn,71.0357,27.8492,44.28,85,100,14.05,NO,1627249948
Half Moon Bay,37.4636,-122.4286,94.75,62,40,1.01,US,1627249919
Terney,45.0503,136.6092,74.79,80,99,2.17,RU,1627249949
Puerto Nariño,-3.7703,-70.3831,85.95,78,100,3.44,CO,1627249950
Lompoc,34.6391,-120.4579,84.22,72,90,16.11,US,1627249950
Vadsø,70.0744,29.7487,47.28,71,75,11.5,NO,1627249951
Hithadhoo,-0.6,73.0833,81.0,74,88,5.19,MV,1627249951
Poyarkovo,49.6,128.6833,68.32,98,100,3.44,RU,1627249952
Nouadhibou,20.931,-17.0347,71.58,88,5,19.57,MR,1627249953
Geraldton,-28.7667,114.6,46.81,93,75,14.97,AU,1627249953
Bengkulu,-3.8004,102.2655,73.83,84,2,5.19,ID,1627249954
Vaini,-21.2,-175.2,77.16,83,40,2.3,TO,1627249954
San Policarpo,12.1791,125.5072,79.61,80,17,7.58,PH,1627249955
Lebu,-37.6167,-73.65,49.73,89,59,16.37,CL,1627249955
Chegdomyn,51.1167,133.0167,67.39,96,100,2.28,RU,1627249956
Cayenne,4.9333,-52.3333,78.84,90,75,1.99,GF,1627249896
Coyhaique,-45.5752,-72.0662,43.41,56,40,4.61,CL,1627249957
Alipur Chatha,32.2688,73.819,91.65,53,61,7.7,PK,1627249957
Butaritari,3.0707,172.7902,82.26,74,85,10.67,KI,1627249816
Lamu,-2.2717,40.902,75.42,77,5,21.85,KE,1627249958
Chabahar,25.2919,60.643,85.28,78,50,2.44,IR,1627249959
Tiznit Province,29.5833,-9.5,78.33,35,0,3.49,MA,1627249959
Zeitz,51.05,12.15,69.3,76,87,4.09,DE,1627249960
Waitati,-45.75,170.5667,50.81,72,100,7.52,NZ,1627249960
Brae,60.3964,-1.353,57.11,89,3,4.56,GB,1627249961
Boueni,-12.9025,45.0761,76.98,65,57,17.92,YT,1627249961
Jérémie,18.65,-74.1167,83.52,76,100,5.08,HT,1627249962
Laguna,38.421,-121.4238,107.13,25,1,4.0,US,1627249846
Kavieng,-2.5744,150.7967,81.61,74,89,3.6,PG,1627249963
Esperance,-33.8667,121.9,51.64,88,2,17.72,AU,1627249963
Atuona,-9.8,-139.0333,77.81,71,54,23.22,PF,1627249964
Martapura,-3.4167,114.85,71.69,94,3,4.61,ID,1627249965
Kiama,-34.6833,150.8667,57.25,65,0,7.0,AU,1627249965
Port Elizabeth,-33.918,25.5701,50.29,81,40,2.3,ZA,1627249966
Fortuna,40.5982,-124.1573,68.86,79,1,14.97,US,1627249966
College,64.8569,-147.8028,68.58,54,75,8.05,US,1627249967
Pevek,69.7008,170.3133,35.1,90,100,8.21,RU,1627249965
Hearst,49.6835,-83.6665,77.25,95,67,3.36,CA,1627249968
Murakami,38.2333,139.4833,80.49,74,7,4.16,JP,1627249968
Hashtrūd,37.4779,47.0508,71.01,61,0,4.7,IR,1627249969
Cloquet,46.7216,-92.4594,88.61,28,1,12.66,US,1627249900
Paamiut,61.994,-49.6678,43.77,74,78,5.12,GL,1627249970
Magistral'nyy,56.1725,107.4458,58.96,76,19,1.61,RU,1627249970
Mount Isa,-20.7333,139.5,49.77,43,9,5.75,AU,1627249971
Kemijärvi,66.7131,27.4306,55.62,92,96,1.95,FI,1627249972
Sibolga,1.7427,98.7792,76.51,82,53,2.66,ID,1627249972
Nanchong,30.7951,106.0847,76.21,88,1,2.77,CN,1627249973
Cururupu,-1.8283,-44.8683,75.2,84,71,3.56,BR,1627249973
Tasiilaq,65.6145,-37.6368,38.84,81,38,4.25,GL,1627249827
Ullapool,57.8987,-5.1604,59.76,89,7,2.95,GB,1627249975
Omboué,-1.5746,9.2618,73.8,79,96,5.82,GA,1627249975
Port Said,31.2565,32.2841,80.58,78,40,12.66,EG,1627249896
Kununurra,-15.7667,128.7333,57.18,88,78,0.0,AU,1627249977
Manta,-0.95,-80.7333,76.78,73,75,12.66,EC,1627249977
Jamestown,42.097,-79.2353,83.52,57,1,11.5,US,1627249856
Ayan,56.45,138.1667,63.28,86,78,4.88,RU,1627249853
Chui,-33.6971,-53.4616,62.26,91,1,4.63,UY,1627249979
Votkinsk,57.0486,53.9872,50.77,58,78,4.03,RU,1627249979
Pemberton,50.3164,-122.8027,87.49,33,23,8.14,CA,1627249980
Iqaluit,63.7506,-68.5145,49.73,87,75,5.01,CA,1627249902
Progreso,21.2833,-89.6667,92.1,68,97,10.65,MX,1627249981
Narasannapeta,18.4167,84.05,82.09,76,100,6.69,IN,1627249981
Padang,-0.9492,100.3543,77.58,85,28,3.83,ID,1627249879
Gweta,-20.1833,25.2333,50.83,58,0,14.63,BW,1627249982
Preobrazheniye,42.9019,133.9064,75.45,78,37,1.23,RU,1627249983
Concordia,-31.393,-58.0209,60.87,94,90,11.99,AR,1627249983
The Valley,18.217,-63.0578,82.54,89,75,13.8,AI,1627249984
Pisco,-13.7,-76.2167,64.45,77,20,9.22,PE,1627249984
Tomatlán,19.9333,-105.25,89.02,66,33,10.07,MX,1627249985
Tezu,27.9167,96.1667,76.75,98,100,2.44,IN,1627249985
Oodweyne,9.4092,45.064,71.38,49,82,19.53,SO,1627249986
Cape Town,-33.9258,18.4232,59.11,57,0,4.61,ZA,1627249747
Vardø,70.3705,31.1107,46.6,79,99,20.07,NO,1627249987
Hamilton,39.1834,-84.5333,89.89,68,1,6.91,US,1627249718
Leningradskiy,69.3833,178.4167,39.31,86,99,4.79,RU,1627249988
Severo-Kuril'sk,50.6789,156.125,56.77,92,82,3.49,RU,1627249905
Bambous Virieux,-20.3428,57.7575,70.05,60,20,8.05,MU,1627249989
Balyaga,51.1507,108.921,55.92,81,48,3.44,RU,1627249990
Beyneu,45.3167,55.2,86.27,19,64,13.69,KZ,1627249990
Saldanha,-33.0117,17.9442,51.85,45,100,13.42,ZA,1627249874
Nador,35.174,-2.9287,84.27,44,0,19.57,MA,1627249991
Coronado,32.6859,-117.1831,88.47,73,100,4.0,US,1627249992
Flinders,-34.5833,150.8552,57.06,68,0,3.0,AU,1627249993
Anchorage,61.2181,-149.9003,65.64,70,90,3.44,US,1627249735
New Norfolk,-42.7826,147.0587,45.57,72,51,1.01,AU,1627249994
Belmonte,-15.8631,-38.8828,68.5,86,68,9.8,BR,1627249855
Clyde River,70.4692,-68.5914,35.83,100,90,5.75,CA,1627249829
Straumen,63.8709,11.2999,64.51,91,30,3.29,NO,1627249995
Port Hardy,50.6996,-127.4199,62.78,77,75,4.61,CA,1627249995
Dhidhdhoo,6.8833,73.1,82.11,76,100,17.87,MV,1627249996
Fort Nelson,58.8053,-122.7002,72.99,33,40,6.91,CA,1627249996
Chambas,22.1928,-78.9136,85.53,66,66,7.67,CU,1627249997
Antalaha,-14.9003,50.2788,65.68,83,76,8.68,MG,1627249952
Thompson,55.7435,-97.8558,64.56,39,20,13.8,CA,1627249843
Uchaly,54.2996,59.4521,46.38,70,0,4.52,RU,1627250000
Shancheng,34.7953,116.0817,74.35,86,45,4.25,CN,1627250002
Auki,-8.7676,160.7034,80.38,79,74,4.16,SB,1627249909
Nikolskoye,59.7035,30.7861,64.29,74,34,3.02,RU,1627250002
San Ignacio,17.1561,-89.0714,93.34,49,40,0.0,BZ,1627250003
Uyovu,-3.2833,31.5258,66.04,40,55,5.06,TZ,1627250004
Pionki,51.476,21.4499,69.28,53,100,7.83,PL,1627250004
Gazli,40.1333,63.45,93.69,14,0,14.29,UZ,1627250005
Agadez,19.75,10.25,90.64,15,90,9.69,NE,1627250005
Ancud,-41.8697,-73.8203,45.93,70,21,8.1,CL,1627250006
Arco,45.9177,10.8867,76.87,81,95,5.7,IT,1627250007
Hong Kong,22.2855,114.1577,85.32,85,13,1.01,HK,1627249986
Kralendijk,12.15,-68.2667,84.18,74,0,13.8,BQ,1627250008
Porto-Novo,6.4965,2.6036,75.25,79,22,6.82,BJ,1627249819
Nogliki,51.8333,143.1667,72.34,82,100,10.4,RU,1627250008
Sai Buri,6.7013,101.6168,77.07,86,75,4.83,TH,1627250009
Cesvaine,56.9667,26.3167,59.81,69,20,2.08,LV,1627250009
Yaviza,8.1537,-77.6931,76.68,94,100,0.72,PA,1627250010
Yārāda,17.65,83.2667,82.72,94,40,10.36,IN,1627250011
Roebourne,-20.7833,117.1333,68.25,46,74,5.82,AU,1627250011
Okmulgee,35.6234,-95.9605,97.02,46,75,5.75,US,1627250012
Mahébourg,-20.4081,57.7,70.09,60,20,8.05,MU,1627250012
Inuvik,68.3499,-133.7218,54.36,90,90,11.5,CA,1627250013
Chickasha,35.0526,-97.9364,99.28,46,1,11.5,US,1627249897
Ulaangom,49.9811,92.0667,64.94,63,100,0.63,MN,1627250014
Yanam,16.7333,82.2167,80.31,82,58,4.27,IN,1627250014
East London,-33.0153,27.9116,58.89,32,6,7.36,ZA,1627250015
Bourail,-21.5667,165.4833,70.83,75,20,4.97,NC,1627250015
Usinsk,65.9939,57.5281,43.7,89,93,9.53,RU,1627249840
Lüderitz,-26.6481,15.1594,66.94,21,100,4.38,NA,1627250016
Najrān,17.4924,44.1277,84.85,38,88,1.03,SA,1627250017
Matagami,49.7502,-77.6328,66.31,77,75,8.05,CA,1627250017
Bilma,18.6853,12.9164,78.6,68,97,10.71,NE,1627250018
Hobart,-42.8794,147.3294,45.91,71,20,1.01,AU,1627250018
Sekoma,-24.4,23.8833,44.22,58,2,9.64,BW,1627250019
Saint-Pierre,-21.3393,55.4781,67.64,63,0,6.91,RE,1627250020
San Juan,-31.5375,-68.5364,57.06,32,11,7.92,AR,1627250020
Bathsheba,13.2167,-59.5167,79.41,94,75,11.5,BB,1627249948
Acaraú,-2.8856,-40.12,78.55,75,15,15.55,BR,1627250021
Safi,32.2994,-9.2372,69.24,87,0,16.58,MA,1627249866
Dali,25.7,100.1833,60.3,86,73,0.47,CN,1627250022
Olafsvik,64.8945,-23.7142,49.59,91,86,24.99,IS,1627249831
La Ronge,55.1001,-105.2842,70.02,52,75,8.05,CA,1627249851
Takoradze,4.8845,-1.7554,74.89,79,19,7.45,GH,1627250023
Vila Franca do Campo,37.7167,-25.4333,70.21,89,41,6.46,PT,1627249959
Luleå,65.5842,22.1547,60.87,82,40,0.0,SE,1627249989
Bayir,37.2687,28.2167,68.52,59,24,4.45,TR,1627250024
Sayyan,15.1718,44.3244,60.89,72,86,3.09,YE,1627250025
Airai,-8.9266,125.4092,54.81,57,66,3.18,TL,1627250025
Gusau,12.1628,6.6614,75.56,84,100,10.49,NG,1627250026
Prainha,-1.8,-53.48,80.96,58,78,3.33,BR,1627250027
Fortuna Foothills,32.6578,-114.4119,93.25,53,1,4.0,US,1627250027
Dehlorān,32.6941,47.2679,102.61,12,20,9.6,IR,1627250028
Rapid Valley,44.0625,-103.1463,102.4,18,1,1.01,US,1627250028
Vestmannaeyjar,63.4427,-20.2734,51.12,81,93,20.2,IS,1627249884
Medicine Hat,50.0501,-110.6683,89.22,21,40,1.01,CA,1627249875
Uíge,-7.6087,15.0613,66.29,53,19,3.29,AO,1627250029
Ibrā’,22.6906,58.5334,90.72,42,69,4.61,OM,1627249941
Ilulissat,69.2167,-51.1,44.56,57,100,7.9,GL,1627249910
Omsukchan,62.5333,155.8,53.56,98,100,6.4,RU,1627250030
Saint-François,46.4154,3.9054,67.17,78,0,3.44,FR,1627250031
Sungai Raya,0.7,108.9,78.57,89,59,6.71,ID,1627250031
Santa Inês,-3.6667,-45.38,80.17,53,24,3.4,BR,1627249970
La Serena,-29.9078,-71.2542,58.51,72,0,9.22,CL,1627249943
Codrington,-38.2667,141.9667,51.37,91,87,15.03,AU,1627249924
Klaksvík,62.2266,-6.589,50.92,95,100,6.46,FO,1627250033
Rio Grande,-32.035,-52.0986,64.94,87,11,8.52,BR,1627249803
Souillac,-20.5167,57.5167,70.18,60,20,8.05,MU,1627250034
Lesnoy,57.6198,63.0784,47.8,75,61,6.24,RU,1627250034
Lago da Pedra,-4.3333,-45.1667,80.96,49,53,5.03,BR,1627250035
Cidreira,-30.1811,-50.2056,64.96,74,14,10.38,BR,1627249909
Nuuk,64.1835,-51.7216,52.88,62,100,5.01,GL,1627249841
Alta Floresta,-9.8756,-56.0861,82.38,35,18,2.46,BR,1627250036
Alofi,-19.0595,-169.9187,80.49,78,8,4.61,NU,1627250036
Henties Bay,-22.116,14.2845,68.13,38,62,2.66,NA,1627249820
Constitución,-35.3333,-72.4167,51.12,91,20,7.49,CL,1627250037
Yangi Marg`ilon,40.4272,71.7189,80.02,36,0,6.91,UZ,1627250038
Aransas Pass,27.9095,-97.15,93.22,71,1,8.99,US,1627250038
Broome,42.2506,-75.833,86.16,62,75,1.01,US,1627249906
Krasnoturansk,54.3186,91.5639,66.99,89,75,3.0,RU,1627250040
Oranjestad,12.524,-70.027,82.35,89,75,10.36,AW,1627249915
Narsaq,60.9167,-46.05,50.47,58,28,1.59,GL,1627250040
Pacific Grove,36.6177,-121.9166,92.01,78,20,5.01,US,1627250041
Nishihara,26.1842,127.7558,80.26,94,75,9.22,JP,1627250041
Seoul,37.5683,126.9778,81.97,67,0,11.5,KR,1627249898
Kaitangata,-46.2817,169.8464,46.45,81,100,3.06,NZ,1627249830
Mogadishu,2.0371,45.3438,76.21,77,51,20.92,SO,1627250043
Novovelichkovskaya,45.2778,38.8436,78.12,55,17,10.2,RU,1627250043
Avera,33.194,-82.5271,93.7,52,89,5.68,US,1627250044
Tsimmerbude,54.675,20.1347,66.25,80,100,9.28,RU,1627250045
Sydney,-33.8679,151.2073,54.75,71,20,4.0,AU,1627249820
Dakar,14.6937,-17.4441,81.48,74,0,0.0,SN,1627250046
Port Keats,-14.25,129.55,68.95,57,79,5.86,AU,1627250046
Tondano,1.3038,124.9112,66.29,93,89,4.99,ID,1627250047
Ketchikan,55.3422,-131.6461,58.57,79,97,2.68,US,1627250047
Batouri,4.4333,14.3667,67.41,97,100,3.02,CM,1627250048
Lékoni,-1.5843,14.2591,82.0,42,98,8.55,GA,1627250048
